Origin,Destination,Carrier,Notes,Source,Origin_Airport_Name,Origin_FAA_ID,Origin_ICAO,Origin_Status,Origin_Region,Origin_Owner,Origin_Lat,Origin_Lon,Destination_Airport_Name,Destination_FAA_ID,Destination_ICAO,Destination_Status,Destination_Region,Destination_Owner,Destination_Lat,Destination_Lon
FAI,Bethel,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Bethel Apt,BET,PABE,Standard,Central,DOT&PF Controlled,60.7785568,-161.8371774
FAI,Dillingham,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Dillingham Apt,DLG,PADL,Standard,Central,DOT&PF Controlled,59.0446667,-158.5055
FAI,King Salmon,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,King Salmon Apt,AKN,PAKN,Standard,Southcoast,DOT&PF Controlled,58.6764935,-156.648691
FAI,Nome,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Nome Apt,OME,PAOM,Standard,Northern,DOT&PF Controlled,64.5122022,-165.4452458
FAI,Unalakleet,Everts Air Cargo,By charter hire for fuel,"Schedule | Everts Air, Airline in Alaska",Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Unalakleet Apt,UNK,PAUN,Standard,Northern,DOT&PF Controlled,63.8884956,-160.7991109
FAI,Anaktuvuk Pass,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Anaktuvuk Pass Apt,AKP,PAKP,Other,Northern,Other Government,68.1335972,-151.7433417
FAI,Fort Yukon,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Fort Yukon Apt,FYU,PFYU,Standard,Northern,DOT&PF Controlled,66.5714903,-145.2504169
FAI,Deadhorse,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Deadhorse Apt,SCC,PASC,Standard,Northern,DOT&PF Controlled,70.19475,-148.4651667
FAI,Galena,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Galena Apt,GAL,PAGA,Standard,Northern,DOT&PF Controlled,64.7361667,-156.9373889
FAI,Arctic Village,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Arctic Village Apt,ARC,PARC,Other,Northern,Other Government,68.1146694,-145.5794153
FAI,Venetie,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Venetie Apt,VEE,PAVE,Other,Northern,Other Government,67.008675,-146.3663583
FAI,Allakaket,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Allakaket Apt,6A8,PFAL,Standard,Northern,DOT&PF Controlled,66.5518333,-152.6221667
FAI,Barter Island,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Kaktovik / Barter Island LRRS Apt,BTI,PABA,Other,Northern,Other Government,70.1339886,-143.5818669
FAI,Eagle,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Eagle Apt,EAA,PAEG,Standard,Northern,DOT&PF Controlled,64.7780833,-141.1496111
FAI,Husila,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Huslia Apt,HLA,PAHL,Standard,Northern,DOT&PF Controlled,65.6978611,-156.3513889
FAI,Nulato,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Nulato Apt,NUL,PANU,Standard,Northern,DOT&PF Controlled,64.7293108,-158.0742219
FAI,Ruby,Everts Air Cargo,By charter hire for fuel - historical flight record,Everts Air routes and airport map - Flightsfrom.com,Fairbanks International Airport,FAI,PAFA,Standard,Northern,DOT&PF Controlled,64.8151101,-147.8564476,Ruby Apt,RBY,PARY,Standard,Northern,DOT&PF Controlled,64.7272222,-155.4698889
ANC,Bethel,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Bethel Apt,BET,PABE,Standard,Central,DOT&PF Controlled,60.7785568,-161.8371774
ANC,Emmonak,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Emmonak Apt,ENM,PAEM,Standard,Northern,DOT&PF Controlled,62.7861389,-164.49075
ANC,Kotzebue,Lynden Air Cargo,,Flight Schedules and Routes | Lynden Air Cargo,Ted Stevens Anchorage International Airport,ANC,PANC,Standard,Central,DOT&PF Controlled,61.1743611,-149.9963611,Kotzebue Ralph Wien Memorial Apt,OTZ,PAOT,Standard,Northern,DOT&PF Controlled,66.88806045,-162.59327529
